agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
3,1.5,Somewhat Agrees,https://www.allsides.com/news-source/texas-observer-media-bias,left-center,2,The Texas Observer,5
11421,1.3702459508098381,Somewhat Agrees,https://www.allsides.com/news-source/abc-news-media-bias,left-center,8335,ABC News,19756
3371,0.6490180978051598,Disagrees,https://www.allsides.com/news-source/al-jazeera-america,center,5194,Al Jazeera,8565
3162,2.5770171149144256,Strongly Agrees,https://www.allsides.com/news-source/allsides-0,allsides,1227,AllSides,4389
2051,1.6729200652528549,Agrees,https://www.allsides.com/news-source/allsides-community,allsides,1226,AllSides Community,3277
2129,2.9406077348066297,Strongly Agrees,https://www.allsides.com/news-source/alternet,left,724,AlterNet,2853
5881,2.3646964213912343,Strongly Agrees,https://www.allsides.com/news-source/american-spectator,right,2487,American Spectator,8368
1276,1.7971830985915493,Agrees,https://www.allsides.com/news-source/american-thinker,right,710,American Thinker,1986
735,1.618942731277533,Agrees,https://www.allsides.com/news-source/aquinas-college-saint,left,454,Aquinas College Saint,1189
790,1.325503355704698,Somewhat Agrees,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,596,Arkansas Democrat-Gazette,1386
6338,1.4236298292902065,Somewhat Agrees,https://www.allsides.com/news-source/associated-press-media-bias,center,4452,Associated Press,10790
704,1.0586466165413533,Somewhat Agrees,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,665,Atlanta Journal-Constitution,1369
629,1.3104166666666666,Somewhat Agrees,https://www.allsides.com/news-source/austin-american-statesman,left-center,480,Austin American-Statesman,1109
1143,0.9071428571428571,Somewhat Disagrees,https://www.allsides.com/news-source/axios,center,1260,Axios,2403
410,0.8436213991769548,Somewhat Disagrees,https://www.allsides.com/news-source/barnstable-patriot,center,486,Barnstable Patriot,896
9449,1.0672012649649876,Somewhat Agrees,https://www.allsides.com/news-source/bbc-news-media-bias,center,8854,BBC News,18303
503,1.169767441860465,Somewhat Agrees,https://www.allsides.com/news-source/bearing-drift,right,430,Bearing Drift,933
5323,0.8753494491037658,Somewhat Disagrees,https://www.allsides.com/news-source/bloomberg-media-bias,center,6081,Bloomberg,11404
613,1.3837471783295712,Somewhat Agrees,https://www.allsides.com/news-source/blue-virginia,left,443,Blue Virginia,1056
733,1.5628997867803838,Agrees,https://www.allsides.com/news-source/boing-boing,left,469,Boing Boing,1202
269,1.1850220264317182,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,227,Boston Herald,496
140,1.308411214953271,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,right-center,107,Boston Herald Editorial,247
482,0.9544554455445544,Somewhat Disagrees,https://www.allsides.com/news-source/bowling-green-daily-news,left-center,505,Bowling Green Daily News,987
14343,1.8954671600370028,Agrees,https://www.allsides.com/news-source/breitbart,right,7567,Breitbart News,21910
1771,0.9068100358422939,Somewhat Disagrees,https://www.allsides.com/news-source/business-insider,center,1953,Business Insider,3724
649,0.9818456883509834,Somewhat Disagrees,https://www.allsides.com/news-source/bustle,left-center,661,Bustle,1310
4014,0.7229827089337176,Somewhat Disagrees,https://www.allsides.com/news-source/buzzfeed-media-bias,left-center,5552,BuzzFeed News,9566
2600,3.346203346203346,Absolutely Agrees,https://www.allsides.com/news-source/c-span,center,777,C-SPAN,3377
550,1.2731481481481481,Somewhat Agrees,https://www.allsides.com/news-source/calmatters,center,432,CalMatters,982
426,0.9321663019693655,Somewhat Disagrees,https://www.allsides.com/news-source/calwatchdog,center,457,CalWatchdog,883
480,0.96,Somewhat Disagrees,https://www.allsides.com/news-source/care-2,left,500,Care 2,980
6008,1.9097266369993642,Agrees,https://www.allsides.com/news-source/cbn,right,3146,CBN,9154
5523,1.199609035621199,Somewhat Agrees,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,4604,CBS News,10127
523,1.1344902386117137,Somewhat Agrees,https://www.allsides.com/news-source/center-major-media-sources,center,461,Center - Major Media Sources,984
